id,genres,tag
5.0,Comedy,family-pregnancy-wedding-sequel fever-Diane Keaton-family-sequel-Steve Martin-wedding-Fantasy-steve martin-humorous-steve martin-Comedy-Touching-pregnancy-remake-CLV-childhood classics-steve martin-childhood classics-it thought it was funny but it wasn't-watched under duress-worst movies ever-steve martin-steve martin
16.0,Crime,Bibliothek-based on a book-cannibalism-corruption-imdb top 250-Nudity (Topless +AC0- Brief)-Martin Scorsese-narrated-robert de niro-etaege-Martin Scorsese-Las Vegas-organized crime-Tumey's DVDs-mafia-Robert De Niro-cannibalism-Robert DeNiro-masterpiece-violent-mafia-non+AC0-fiction-gangster-gangsters-mob-organized crime-violent-mafia-Martin Scorsese-narrated-Robert De Niro-Robert DeNiro-Sharon Stone-violent-need to own-erlend's DVDs-Joe Pesci-las vegas-mafia-Martin Scorsese-Robert De Niro-Martin Scorsese-Robert De Niro-complex-gangsters-great performances-imdb top 250-las vegas-mafia-Martin Scorsese-narrated-non+AC0-fiction-organized crime-Robert De Niro-based on a book-gangsters-imdb top 250-Las Vegas-Mafia-nudity (rear)-imdb top 250-Joe Pesci-robert de niro-Eric's Dvds-Nudity (Rear)-Nudity (Topless +AC0- Brief)-de niro in pink-20060407-robert de niro-scorcese-cinematographer:Robert Richardson-joe pesci-Martin Scorsese-corruption-great performances-mafia-Martin Scorsese-Mafia-watch-complex-Goodfellas II-based on a book-mafia-Martin Scorsese-Robert Deniro-Joe Pesci-Martin Scorsese-Robert De Niro-Sharon Stone-cult film-imdb top 250-mafia-mob-narrated-Robert De Niro-Mafia-mafia-nudity-Martin Scorsese-gangsters-mafia-Robert De Niro-CLV-cult film-mafia-robert de niro-scorcese-character development-violent-gangsters-imdb top 250-las vegas-mafia-Martin Scorsese-narrated-Robert De Niro-Sharon Stone-casino-violent-violent-las vegas-Martin Scorsese-mob-Martin Scorsese-excellent cast-Great Ensemble Cast-great performances-Joe Pesci-long movie-Robert De Niro-Sharon Stone-NO+AF8-FA+AF8-GANES-mafia-Robert De Niro-DeNiro-gangster-Pesci-Vegas-based on a book-casino-corruption-gangster-Great Ensemble Cast-great performances-mafia-Martin Scorsese-Nudity (Rear)-Nudity (Topless +AC0- Brief)-organized crime-Robert De Niro-violence-violent-Martin Scorsese-on dvr-casino-memasa's movies-Joe Pesci-Las Vegas-Martin Scorsese-Robert De Niro-Sharon Stone-corruption-gamble-mafia-soundtrack-violence-casino-Martin Scorsese-narrated-Robert De Niro-violent-Martin Scorsese-mafia-organized crime-Martin Scorsese-Martin Scorsese-Martin Scorsese-na dysku-indulgent-muddled motivations-slow-stylish-based on a book-Martin Scorsese-mafia-narrated-Divx1-Martin Scorsese
17.0,Romance,Bibliothek-Alan Rickman-based on a book-British-heartwarming-Hugh Grant-Jane Austen-period film-romance-Emma Thompson-Jane Austen-19th century-Alan Rickman-based on a book-British-chick flick-costume drama-Hugh Grant-Jane Austen-Kate Winslet-romance-romantic-Alan Rickman-British-chick flick-Hugh Grant-Kate Winslet-British-Shakespeare-Jane Austen-Jane Austen-based on a book-classic literature-fast-romantic-19th century-based on a book-chick flick-costume drama-Great Screenplays-heartwarming-historical-literature-period piece-romantic-BGAB LRC-English-Romance-based on a book-Jane Austen-true love story-adapted from:book-based on a book-romance-romantic-Shakespeare-Jane Austen-hulu-British-Great Adaptations-Great Screenplays-chick flick-Jane Austen-Period-romantic-Alan Rickman-Emma Thompson-Hugh Grant-british-adapted from:book-author:Jane Austen-Jane Austen-boring-nothing happens-Jane Austen-historical-literature-Alan Rickman-British-costume drama-Alan Rickman-19th century-Alan Rickman-based on a book-British-costume drama-Jane Austen-Period-Regency England-romantic-Jane Austen-British-Jane Austen-CLV-Emma Thompson-Hugh Grant-Alan Rickman-chick flick-classic-Hugh Grant-Jane Austen-Kate Winslet-Period-based on a book-British-Hugh Grant-Jane Austen-romantic-Shakespeare-chick flick-hugh grant-romance-shakespeare-18th century-Jane Austen-romance-trials and tribulations-Sven's to see list-Period-Regency England-19th century-Jane Austen-romantic-seen 2012-19th century-adapted from:book-Ang Lee-British-costume drama-Jane Austen-Netflix Finland-Ang Lee-Emma Thompson-Kate Winslet-available DVD-based on a book-British-classic-Jane Austen-Jane Austen-Alan Rickman-Emma Thompson-Hugh Grant-Kate Winslet-19th century-Alan Rickman-Ang Lee-British-costume drama-Emma Thompson-historical-Jane Austen-Period-adapted from:book-Alan Rickman-Ang Lee-author:Jane Austen-British-Emma Thompson-Hugh Grant-Kate Winslet-19th century-costume drama-emotional-Jane Austen-Kate Winslet-Period-romantic-Jane Austen-chick flick-na dysku-based on a book-Jane Austen-British-Ang Lee
18.0,Comedy,Comedy-dark comedy-Jennifer Beals-multiple storylines-Quentin Tarantino-Tarantino-Tim Roth-witches-4-Antonio Banderas-Quentin Tarantino-Tim Roth-multiple storylines-Tim Roth-Tumey's VHS-Bruce Willis-Comedy-multiple storylines-tarantino-witch-Quentin Tarantino-Robert Rodriguez-Antonio Banderas-Madonna-multiple storylines-Quentin Tarantino-Quentin Tarantino-Robert Rodriguez-dark comedy-Quentin Tarantino-multiple storylines-hotel-multiple storylines-nudity (topless)-Nudity (Topless)-Antonio Banderas-Bruce Willis-hotel-Quentin Tarantino-Robert Rodriguez-Tim Roth-multiple storylines-Quentin Tarantino-Quentin Tarantino-fast paced-multiple short stories in one-Rodriguez-Tarantino-Antonio Banderas-dark comedy-hotel-Madonna-Quentin Tarantino-Salma Hayek-Tim Roth-Tarantino-Bruce Willis-dark comedy-multiple storylines-Quentin Tarantino-Tim Roth-multiple storylines-comedy-hotel-multiple storylines-Nudity (Topless)-awesome soundtrack-Combustible Edison Music-dark comedy-Quentin Tarantino-Antonio Banderas-Bruce Willis-fast paced-multiple storylines-Quentin Tarantino-Robert Rodriguez-Tarantino-Tim Roth-Tarantino-multiple storylines-Quentin Tarantino-multiple storylines-Quentin Tarantino-Robert Rodriguez-Tim Roth-multiple storylines-multiple storylines-Tim Roth-Comedy-Drama-Thriller-own-Tarantino-Tim Roth-tarantino-Alexandre Rockwell-Allison Anders-Rodriguez-Tarantino
19.0,Comedy,Jim Carrey-Africa-childhood fav-comedy-crazy-Gross+AC0-out-hehehe-Jim Carrey-Not my kind of comedy-One of the worst movies of all time-over the top-Rhino action :D-Simon Callow-spit-Steve Oedekerk-Stupid as Hell-Jim Carrey-Jim Carrey-detective-comedy-detective-comedy-hilarious-Jim Carrey-sequel-detective-Stupid as Hell-detective-Not my kind of comedy-childhood fav-Jim Carrey-Simon Callow-Steve Oedekerk-detective-One of the worst movies of all time-over the top-Stupid as Hell-detective-Africa-comedy-Jim Carrey-detective-Jim Carrey-Jim Carrey-detective-hilarious-Gross+AC0-out-spit-Jim Carrey-Rhino action :D-Stupid as Hell-Africa-detective-Jim Carrey-Jim Carrey-Jim Carrey-Rhino action :D-Stupid as Hell-Jim Carrey-Steve Oedekerk-private detective-comedy-Jim Carrey-Africa-comedy-Jim Carrey-detective-detective-wacky comedy-Jim Carrey-detective-Jim Carrey-Jim Carrey-Jim Carrey-detective-detective-awesome-comedy-detective-over the top-silly fun-detective-detective-Jim Carrey-Not my kind of comedy-hehehe-detective-comedy-Jim Carrey-over the top-Jim Carrey-silly fun-crazy-Jim Carrey-over the top-Jim Carrey-Jim Carrey-Not my kind of comedy-One of the worst movies of all time-Stupid as Hell-comedy-detective-goofy-Jim Carrey-comedy-Jim Carrey-silly fun-very funny-comedy-goofy-Jim Carrey-silly fun-stupid-Jim Carrey-silly fun-detective-crazy-comedy-Jim Carrey-Steve Oedekerk
25.0,Romance,Bibliothek-depressing-Nudity (Topless)-STAR+AC0-CROSSED LOVERS-melancholic-atmospheric-Nudity (Topless)-PROSTITUTES-ALCOHOLISM-atmospheric-elegiac-intimate-melancholy-poignant-PROSTITUTES-STAR+AC0-CROSSED LOVERS-SUICIDE-understated-overrated-atmospheric-drama-great soundtrack-Nicolas Cage-Oscar (Best Actor)-understated-dark-alcoholism-based on a book-dark-depressing-drama-intimate-melancholic-Nicolas Cage-SUICIDE-alcoholism-depressing-love-Oscar (Best Actor)-SUICIDE-melancholic-alcoholism-elizabeth shue-Nicolas Cage-alcoholism-addiction-owned-loneliness-love is not enough-depressing-depressing-realistic characters-Nicolas Cage-alcoholism-depressing-drama-Nicolas Cage-drinking-nudity (topless)-prostitution-addiction-existential-nihilism-Nudity (Topless)-melancholic-Nicolas Cage-haunting-based on a book-melancholic-adapted from:book-author:John O'Brien-alcoholism-melancholic-alcoholism-suicide-melancholic-melancholic-melancholic-alcoholism-depressing-prostitution-SUICIDE-DVD+AC0-Video-based on a book-depressing-drama-Nicolas Cage-Nudity (Topless)-Oscar (Best Actor)-prostitution-addiction-alcoholism-atmospheric-based on a book-dark-depressing-drama-intimate-loneliness-love-melancholy-Nicolas Cage-poignant-prostitution-SUICIDE-understated-atmospheric-Bibliothek-drama-great soundtrack-love-Nicolas Cage-melancholic-melancholic-melancholic-atmospheric-based on a book-dark-Elisabeth Shue-Nicolas Cage-NO+AF8-FA+AF8-GANES-melancholic-melancholic-Nicolas Cage-Oscar (Best Actor)-atmospheric-existential-intimate-understated-Annemari-library-Elisabeth +AC0- emotion+ACE--Nicolas Cage-Alcoholism-Elisabeth Shue-Nicolas Cage-Oscar (Best Actor)-melancholic-alcoholism-dark-depressing-Nicolas Cage-SUICIDE-addiction-atmospheric-favorites-melancholic-na dysku-Nicolas Cage-Oscar (Best Actor)-drunkenness-self destruction-Mike Figgis-adapted from:book-addiction-alcoholism-atmospheric-based on a book-dark-depressing-drinking-Elisabeth Shue-intimate-loneliness-love-Nicolas Cage-Nudity (Topless)-prostitution-SUICIDE-understated-Nicolas Cage-overacting-melancholic
28.0,Romance,author:Jane Austen-Jane Austen-Fiona Shaw-Jane Austen-etaege-Ciar+//0Aw//9AKE-n Hinds-Jane Austen-acting-based on a book-bland-boring-classic literature-slow-Jane Austen-based on a book-Jane Austen-Jane Austen-18th century-adapted from:book-Amanda Root is fabulous in this-author:Jane Austen-setting:England-In Netflix queue-Jane Austen-Jane Austen-Jane Austen-CLV-author:Jane Austen-Jane Austen-Amanda Root-18th century-Jane Austen-library vhs-adaptation-Jane Austen-19th century-adapted from:book-Amanda Root-author:Jane Austen-Ciar+//0Aw//9AIP//QDC//0AoQ-n Hinds-England-Fiona Shaw-Roger Michell-screenwriter:Nick Dear-Jane Austen-j netflix-Roger Michell
30.0,Crime,Gong Li-Yimou Zhang-Zhang Yimou
35.0,Romance,artists-biopics-Emma Thompson-entirely dialogue-artist-strong woman-artist-based on a book-England-painter-World War I-entirely dialogue-polyamory-entirely dialogue-Bloomsbury Group-compare:Bright Star (2009)-compare:Carrington (1995)-protagonist is painter (artist)-protagonist is writer-bisexual-character driven-Character study-homosexuality-intense-polyamory-sad-entirely dialogue-entirely dialogue-on dvr
36.0,Crime,prison-death penalty-Oscar (Best Actress)-true story-Pena de muerte-2-death penalty-Nun-capital punishment-courtroom-death sentence-law-religion-deaf-Sean Penn-buy-death-institutions-prison-ethics-moral dilemma-Abe-Ari-Knoll-Sean Penn-death row-death penalty-prison-based on a book-Catholicism-Christianity-death penalty-religion-true story-death penalty-Nun-book-crime-drama-Tim Robbins-UK-USA-death penalty-Nun-watch-rated+AC0-R-dialogues-rape-death-murder-strong-death penalty-CLV-religion-Bible-Catholicism-Christianity-true story-Christianity-Oscar (Best Actress)-Sean Penn-Susan Sarandon-true story-death penalty-drama-Nun-Catholicism-religion-Can't remember-sad-capital punishment-true story-Annemari-Bible-emotion+ACE--Oscar (Best Actress)-Couldn't finish-nun-pompadour-prison-true story-death penalty-Nun-prison-Sean Penn-true story-Susan Sarandon-Tim Robbins-Susan Sarandon
